"x"
1.00e+03
2.00e+03
3.00e+03
4.00e+03
5.00e+03
6.00e+03
7.00e+03
8.00e+03
9.00e+03
1.00e+04
1.30e+04
1.50e+04
2.00e+04
2.50e+04
3.00e+04
4.00e+04
5.00e+04
6.00e+04
7.50e+04
1.00e+05
1.25e+05
1.50e+05
2.00e+05
2.50e+05
3.00e+05
4.00e+05
5.00e+05
6.00e+05
7.50e+05
1.00e+06
1.25e+06
1.50e+06
2.00e+06
2.50e+06
3.00e+06
4.00e+06
5.00e+06
6.00e+06
7.50e+06
1.00e+07
1.25e+07
1.50e+07
2.00e+07
2.50e+07
3.00e+07
4.00e+07
5.00e+07
6.00e+07
7.50e+07
1.00e+08
1.25e+08
1.50e+08
2.00e+08
2.50e+08
3.00e+08
4.00e+08
5.00e+08
6.00e+08
7.50e+08
1.00e+09
1.00e+10
